name,code,cooperative,district,sub_county,parish,village,contact_person,phone_number,is_vsla,created_at
opur onote women group - Teripora,440,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Teripora,,0787408975,,16-06-2023
Rwot mito mar,441,Dano aye lonyo,Kitgum,Lagoro,Buluzi,Stem village,,0779715718,,16-06-2023
Ageno mar farmers group - Teripora,442,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Teripora,,0787408975,,16-06-2023
Cana en cani vsla-ayonkedi B,443,Oculokori PDM Sacco ltd,Alebtong,Omoro,Oculokori,Ayonkedi,,0773244346,,16-06-2023
Mar Kelo Kuc VLSA group - Oguda West,444,Dano aye lonyo,Kitgum,Lagoro,Pawidi,Oguda West,,0770546703,,16-06-2023
Together We Can VSLA  group - Otalaweno,445,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Otalaweno,,0779594680,,16-06-2023
Gen En Mar VSLA group - Akaidebe,446,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0789260230,,16-06-2023
Gum  pe rom mixed vsla and Farmers group-aloto,447,Dano aye lonyo,Kitgum,Lalano,Aloto,Aloto central,,0782288959,,16-06-2023
Cac pe yweka VSLA - Aloto,448,Dano aye lonyo,Kitgum,Lalano,Aloto,Aloto central,,0775456468,,16-06-2023
Gum  pe rom mixed vsla and Farmers group-aloto,449,Dano aye lonyo,Kitgum,Lalano,Aloto,Aloto central,,0782288959,,16-06-2023
Lubanga omiyo aloto south,450,Dano aye lonyo,Kitgum,Lalano,Aloto,Aloto south,,0762753924,,16-06-2023
Kulu Ogwang VSLG - Amonepetio,451,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Amonepetio,,0781700574,,16-06-2023
Cac pe yweka vsla  aloto central,452,Dano aye lonyo,Kitgum,Lalano,Aloto,Aloto central,,0775456468,,16-06-2023
Obanga akica VSG - Ojungu A,453,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Ojungu A,,0782450900,,17-06-2023
Cakatitidi VSG - Otaloaweno,454,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Otaloaweno,,0774376738,,17-06-2023
Raa okun opar piwa Farmers group.,455,Dano aye lonyo,Kitgum,Lagoro,Laber,Raa okun,,0777396921,,17-06-2023
Ribbe en teko farmers group - Omuna,456,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Omuna,,0774235536,,17-06-2023
Oryem Can VSLA group - Olutu,457,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Abukamola,Olutu,,0785424656,,17-06-2023
Pong Ilato VSLA group - Ocoko Imaki,458,ANEPKIDE-OLILIM PDM SACCO LTD,Otuke,Olilim,Anepkide,Ocoko Imaki,,077185536,,17-06-2023
Obangatwero catering services group - Loro,459,ANEPKIDE-OLILIM PDM SACCO LTD,Otuke,Olilim,Anepkide,Loro,,0786743085,,17-06-2023
Obangatwero VSLA group - Ocemoimeja,460,ANEPKIDE-OLILIM PDM SACCO LTD,Otuke,Olilim,Anepkide,Ocemoimeja,,0789626272,,17-06-2023
Bed Ineno Farmers Group - Burlobo,461,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Oculokori,Burlobo,,0774296648,,17-06-2023
Oyele me Onwong VSLA - Ojungu B,462,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Ojungu B,,0783435073,,17-06-2023
Lweny balolobo farmers group - Lela kabala original,463,Agago District Farmers Association,Agago,Kuywee,Labwordwong,Lela kabala original,,0773393742,,18-06-2023
Ogonyo Youth saving group - Onyede,464,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Onyede,,0770343895,,18-06-2023
Par Can Ikweri VSLA group - Ober,465,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Ober,,0763771600,,18-06-2023
Lubanga konyo balakwa,466,Dano aye lonyo,Kitgum,Lalano,Balakwa,Akanyo litwac,,0780814883,,18-06-2023
Omuna vegetable grower -Omuna,467,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Omuna,,0775567864,,18-06-2023
Acan Kwo Ilwete farmers group - Adekarwai,468,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Abukamola,Adekarwai,,0784055744,,18-06-2023
Noteber farmers group - Akaidebe,469,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0762546543,,18-06-2023
Opiro east farmers field school - Opiro East,470,GWOK MA INONGO COOPERATIVE,Agago,Paimol,Pacabol,Opiro East,,0771226216,,18-06-2023
Bed agen farmers group - Akaidebe,471,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0788538801,,18-06-2023
Yab wangi farmers association - Omoko Ki Tume,472,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Omoko Ki Tume,,0774997343,,18-06-2023
Ateni Akop farners group - Amonepetio,473,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Amonepetio,,0784493428,,19-06-2023
Utam Piwa farmers group - Akuna,474,Dano aye lonyo,Kitgum,Lagoro,Laber,Akuna,,0780191667,,19-06-2023
Dong Paco Farmers group - Kweyo North,475,Lokole cooperative,Agago,Lokole,Olung,Kweyo North,,0777864142,,19-06-2023
Lubangatwero farmers group - Kweyo,476,Lokole cooperative,Agago,Lokole,Olung,Kweyo,,0788497245,,19-06-2023
Ogeb Rwot Farmers group - Aruna South,477,Lokole cooperative,Agago,Lokole,Olung,Aruna South,,0774484747,,19-06-2023
Lagala men Farmers group . Loyoro,478,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Loyoro,,0784915263,,19-06-2023
Mak tic vsla Loyoro,479,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Loyoro village,,071147228,,19-06-2023
Waneno ayim vsla Loyoro,480,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Loyoro village,,078803322,,19-06-2023
Waneno ayim vsla Loyoro,481,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Loyoro village,,078803322,,19-06-2023
Waneno ayim vsla Loyoro,482,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Loyoro village,,078803322,,19-06-2023
CBC Farmers group,483,Dano aye lonyo,Kitgum,Lalano,Balakwa,Gyago pany,,0788964058,,20-06-2023
Kim pe yum vsla aloto,484,Dano aye lonyo,Kitgum,Lalano,Aloto,Aloto south,,0777186902,,20-06-2023
Bolo United Farmers group,485,Dano aye lonyo,Kitgum,Lagoro,Laber,Bolo village,,0782140384,,20-06-2023
Kica Ber catering group - Opiro Centraal,486,GWOK MA INONGO COOPERATIVE,Agago,Paimol,Pacabol,Opiro Centraal,,0784730034,,20-06-2023
Ogoro Oyere VSLA group - Amin Awili,487,OKEE PARISH PDM SACCO,Otuke,Adwari,Okee,Amin Awili,,0779511117,,20-06-2023
Nen Anyim farmers group - Amin Awili,488,OKEE PARISH PDM SACCO,Otuke,Adwari,Okee,Amin Awili,,0771826531,,20-06-2023
Pir pi Anyim farmers group -  Amin Awili,489,OKEE PARISH PDM SACCO,Otuke,Adwari,Okee,Amin Awili,,0774398193,,20-06-2023
Bed igomo farmers group - Ober,490,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Ober,,0784362176,,20-06-2023
Pire Tek FFS - Opiro East,491,GWOK MA INONGO COOPERATIVE,Agago,Paimol,Pacabol,Opiro East,,0772954310,,20-06-2023
Ogen Obanga VSLA group - Akaidebe,492,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0784558209,,20-06-2023
Abukamola mixed farmers group - Akaidebe,493,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0771417012,,21-06-2023
Obangatwero Savings group - Ogowie,494,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baropiro,Ogowie,,0772970805,,21-06-2023
Temi kori youth  farmers group - Tebolo,495,Omot Farmers Cooperative Society ltd,Agago,Omot,Barima,Tebolo,,0779274013,,21-06-2023
Akwo en atura famers group - Coope Mwodoyen,496,Omot Farmers Cooperative Society ltd,Agago,Omot,Barima,Coope Mwodoyen,,0782551530,,21-06-2023
Noteber farmers group - Olutu,497,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Olutu,,0789659608,,21-06-2023
Cam ikweri farmers group - Obile,498,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Obile,,0788952473,,21-06-2023
Orib Cing Savings Group - Dek apena,499,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Dek apena,,0770737265,,21-06-2023
Can wone pe VSLA group - Bar-onger,500,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Bar-onger,,0783248042,,21-06-2023
Yesu Twero Saving group - Acaba,501,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Acaba,,0778390932,,21-06-2023
Can Pe Kuri VSLA group - Olike,502,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Olike,,0780962108,,21-06-2023
Odii Cuny wa VSLA group - Acaba,503,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Acaba,,0789917880,,21-06-2023
Bed igen VSLA group - Acaba,504,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Acaba,,0785343071,,21-06-2023
Obanga Ber VSLA group - Akaidebe,505,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0763229491,,21-06-2023
Can Lworo Tam women's - Apaku,506,OKERE PARISH PDM SACCO,Otuke,Adwari,Okere,Apaku,,0761239650,,21-06-2023
Bed igen VSLA group - Ajwati,507,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Ajwati,,0761809027,,21-06-2023
Wisdom VSLA group - Akaidebe,508,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0764253677,,21-06-2023
Wariber farmers group - Kokil,509,GOT OJWANG - OLILIM PDM SACCO,Agago,Paimol,Pacabol,Kokil,,0774865451,,21-06-2023
oryem can mixed farmers group - Wii Omal,510,Oret puranga PDM SACCO,Pader,Puranga,Oret,Wii Omal,,0778498193,,22-06-2023
Can myero ki Mon farmers group - Pur ber,511,Oret puranga PDM SACCO,Pader,Puranga,Oret Ward,Pur ber,,0779615693,,22-06-2023
Keto can itic farmers group - Loborom,512,Oret puranga PDM SACCO,Pader,Puranga,Oret,Loborom,,0777516781,,22-06-2023
Cung ki ni Yee farmers group - Atula,513,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Atula,,0786819423,,22-06-2023
Pur Ber Youth group - Ongaro,514,Omot Farmers Cooperative Society ltd,Agago,Omot,Barima,Ongaro,,0782140999,,22-06-2023
Obanga Twero women's group - Barim,515,Omot Farmers Cooperative Society ltd,Agago,Omot,Barima,Barim,,077879992,,22-06-2023
Amino Ogwang Animal traction group - Amino Ogwang,516,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Amino Ogwang,,0782402573,,22-06-2023
Ket ikica poultry group - Acwao,517,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Acwao,,0778408439,,22-06-2023
Obangatwero Women's group - Angica,518,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Angica,,0771207994,,22-06-2023
Acwao Cassava growers farmers group - Acwao,519,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Acwao,,0783254173,,22-06-2023
Note Ryemo Can VSLA group - Ader,520,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Ader,,0771646948,,22-06-2023
Can Pe Yero Women's group - Abok,521,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Abok,,0773740248,,22-06-2023
Angica Farmers group - Angica,522,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Angica,,0764577059,,22-06-2023
Orib cing Women's group - Abok,523,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Abok,,0764576333,,22-06-2023
Wot Ikomi farmers group - Amin Ogwang,524,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Amin Ogwang,,0773006690,,22-06-2023
Par Pi Anyim Farmers Group - Angica,525,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Angica,,0784100315,,22-06-2023
Tem Inen Savings group - Amin Ogwang,526,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Amin Ogwang,,0763997213,,22-06-2023
Bed Igen Women's group - Abok,527,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Abok,,0764547271,,22-06-2023
Tem Gumi Farmers group - Ader,528,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Ader,,0782066695,,22-06-2023
Onot Tam Farmers group - Ader,529,OLAROKWON PDM SACCO,Otuke,Adwari,Olarokwon,Ader,,0763977304,,22-06-2023
WAA RIB CING WAA GROUP - lakoga central,530,APWOR - PURANGA PDM SACCO,Pader,Puranga,Lakoga,lakoga central,,0777990946,,22-06-2023
Dugu gang ber vsla paloga,531,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Dog gudi A,,0782305674,,22-06-2023
Me icayo aye konyi,532,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Dog gudi B,,0788944734,,22-06-2023
Aringo bonyo group,533,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Dog gudi B,,0785037107,,22-06-2023
Obanga En Mar farmers groups - Onyede,534,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Onyede,,0774532658,,22-06-2023
Aweiwot Women's group - Ngetta,535,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Ngetta,,0760832776,,23-06-2023
Aweiwot Women's group - Ngetta,536,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Angetta,,0760832776,,23-06-2023
Moktami Women's group - Okelo,537,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Okelo,,0773931479,,23-06-2023
Nen iwangi Women's group - Akurwor,538,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Akuriwo,,0779562668,,23-06-2023
Oringo Alele women's group - Angetta,539,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Angetta,,0775014789,,23-06-2023
Tedwii women group - Okol,540,Omot Farmers Cooperative Society ltd,Agago,Omot,Awonodwe,Okol,,0779511931,,23-06-2023
Obang en mar farmers group - Abera A,541,Omot Farmers Cooperative Society ltd,Agago,Omot,Awonodwe,Abera A,,0773660457,,23-06-2023
Apit Pe Nyek Women's group - Abunga,542,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Abunga,,0761512403,,23-06-2023
Okonye Ken Wa women's group - Ayikoaola,543,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Ayikoaola,,0774657688,,23-06-2023
Rwot amio farmers group - Akaidebe,544,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Akaidebe,,0787073258,,23-06-2023
Omak Tic VSLA group - Atula Central,545,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Atula Central,,0774697116,,24-06-2023
Odong Pacu VSLA group - Alenga,546,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Alenga,,0781504114,,24-06-2023
Ongwalo Ongwade farmers group - Alenga,547,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Alenga,,0779021546,,24-06-2023
Oryo Women's group - Oryo,548,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Oryo,,0785401761,,24-06-2023
Acan Kwete VSLA group - Acinge,549,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baya,Acinge,,0775756258,,24-06-2023
Oryem can ikweri farmers group - Alela,550,Omot Farmers Cooperative Society ltd,Agago,Arum,Alela,Alela,,0760117513,,24-06-2023
Tem gumi farmers group - Bila,551,Omot Farmers Cooperative Society ltd,Agago,Arum,Alela,Bila,,0781626680,,24-06-2023
Orib cing farmer group-Agweng west,552,Gwok manongo cooperative,Agago,Paimol,Taa,Agweng west,,0785358615,,24-06-2023
Bedo Dano Tek farmers group - Atura,553,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pacer,Atura,,0780805371,,25-06-2023
Kwo loke vsla vitnam,554,Dano aye lonyo,Kitgum,Lagoro,Wigweng Ward,Vitnam,,0783762312,,25-06-2023
Atema atema Farmers group name oyika,555,Dano aye lonyo,Kitgum,Lagoro,Wigweng Ward,Nam oyika,,0777485848,,25-06-2023
Bed imar aware farmers and women's group - Atula Central,556,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Atula Central,,0780430306,,25-06-2023
Bed I can mot vsla group - Omanodero,557,ANEPKIDE-OLILIM PDM SACCO LTD,Otuke,Olilim,Anepkide,Omanodero,,0786490839,,25-06-2023
Atek I lwak tea group - Omanodero,558,ANEPKIDE-OLILIM PDM SACCO LTD,Otuke,Olilim,Anepkide,Omanodero,,0787205333,,25-06-2023
Baropiro Youth Group - Olaidero,559,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Baropiro,Olaidero,,0784406537,,25-06-2023
Acan Pe Kun farmers group - Burlobo,560,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Oculokori,Burlobo,,0775106869,,25-06-2023
Ogoro Oyere VSLA group - Oleidero,561,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Baropiro,Oleidero,,0773244777,,25-06-2023
Kwo pire tek vsla group - Owolo,562,Omot Farmers Cooperative Society ltd,Agago,Arum,Agelec,Owolo,,0774713794,,25-06-2023
Ocung kenwa vsla Akwil group - Akwil,563,Omot Farmers Cooperative Society ltd,Agago,Arum,Agelec,Akwil,,0772603689,,25-06-2023
Acan Lole farmers group - Ayom cwiny,564,Oret puranga PDM SACCO,Pader,Puranga,Oret,Ayom cwiny,,0784803452,,25-06-2023
Apur Pe nino farmers group - Aloyocak,565,Oret puranga PDM SACCO,Pader,Puranga,Oret,Aloyocak,,0777409117,,25-06-2023
Got Kiti Farmers group - Ayom cwiny,566,Oret puranga PDM SACCO,Pader,Puranga,Oret,Ayom cwiny,,0782191172,,25-06-2023
Kweri Konya Farmers group - Kom dek Lit,567,Oret puranga PDM SACCO,Pader,Puranga,Oret,Kom dek Lit,,0772597437,,25-06-2023
Ogene Ken Wa farmers group - Aweidwali,568,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Aweidwali,,0780797438,,26-06-2023
Kica ber vsla,569,Dano aye lonyo,Kitgum,Lalano,Lakwor,Jamalka B,,0778392580,,26-06-2023
Akony Kor farmers group - Can ber ki bedo mot,570,Oret puranga PDM SACCO,Pader,Puranga,Oret,Can ber ki bedo mot,,0781104886,,27-06-2023
Par pi wa farmers group - Loborom,571,Oret puranga PDM SACCO,Pader,Puranga,Oret,Loborom,,0783967034,,27-06-2023
Konya konyi farmers group - Omot,572,Omot Farmers Cooperative Society ltd,Agago,Arum,Agelec,Omot,,0761751130,,28-06-2023
Obang pe wany women group - Omot East,573,Omot Farmers Cooperative Society ltd,Agago,Arum,Agelec,Omot East,,0780743996,,28-06-2023
Nen Anyim VSLA group -,574,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Oumo A,,0784906408,,28-06-2023
Otim ikom wa farmers group - Arwot olwonga B,575,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Omarari,Arwot olwonga B,,0778513629,,28-06-2023
Acan Pe Kun farmers group - Aloyocak,576,Oret puranga PDM SACCO,Pader,Puranga,Oret,Aloyocak,,0781011381,,28-06-2023
Pur En Lonyo farmers group - Aloyocak,577,Oret puranga PDM SACCO,Pader,Puranga,Oret,Aloyocak,,0772981040,,28-06-2023
Kica ber farmers group - Abalokodi,578,LAMINAJIKO-PURANGA PDM SACCO,Pader,Purongo,Laminajiko,Abalokodi,,0789940956,,28-06-2023
Okonywa farmers group - Abalokodi,579,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Abalokodi,,0785946487,,28-06-2023
Oket Can Itic famers group - Oracing-yacinto,580,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Oracing-yacinto,,0786202574,,28-06-2023
Dii Cwinyi farmers group - Olaoidero,581,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Baropiro,Olaoidero,,0780342987,,28-06-2023
Gen Kweri Farmers Group - Abalokodi,582,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Abalokodi,,0776512279,,28-06-2023
Obanga Twero Odum farmers group - Abak twomere B,583,APWOR - PURANGA PDM SACCO,Pader,Puranga,Odum,Abak twomere B,,0778871067,,28-06-2023
Opur Oyere farmers group - Odum B,584,APWOR - PURANGA PDM SACCO,Pader,Puranga,Odum,Odum B,,0785386503,,28-06-2023
Bar Agaba farmers group - Bar Agaba,585,APWOR - PURANGA PDM SACCO,Pader,Puranga,Odum,Bar Agaba,,0771359744,,28-06-2023
Acan Okonyo farmer group - Owumu B,586,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Abukamola,Owumu B,,0774290232,,28-06-2023
Oryem Can farmers group - Orakul,587,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Orakul,,0781838979,,29-06-2023
Par Pi Anyim farmers group - Omokngom,588,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Omokngom,,0786444304,,29-06-2023
Can Mito Note farmers group - Lacandakkenekene,589,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Lacandakkenekene,,0775890660,,29-06-2023
Gen rwot vsla palabek Kal,590,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal,Kal C cell,,0780100137,,29-06-2023
Note En Teko Farmers Group - Lacandakkenekene,591,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Lacandakkenekene,,0761307451,,29-06-2023
Kulugweng farmers group - Omokokitume,592,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Omokokitume,,0778115210,,29-06-2023
Peny wii vsla group - Geregere,593,OLUPE OPONG RIVER BANK WECS,Agago,Geregere,Tenge,Geregere,,077057487,,29-06-2023
Adaa Rii Vsla Labima - Labima,594,OLUPE OPONG RIVER BANK WECS,Agago,Geregere,Tenge,Labima,,0781143239,,29-06-2023
G. 2 Vsla group - Gerergere,595,OLUPE OPONG RIVER BANK WECS,Agago,Geregere,Tenge,Gerergere,,0771749780,,29-06-2023
Opwo Obanga Women's group - Awicere,596,Angetta-Olilim PDM savings and Cooperatives LTD,Otuke,Olilim,Angetta,Awicere,,0788049205,,29-06-2023
Bedi ikuc Farmers group - Olutu,597,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Olutu,,0774899758,,29-06-2023
Oyere Women's group - Olikomiabilo,598,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Olikomiabilo,,0780376466,,29-06-2023
Wilobo vsla palabek Kal,599,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal,Kal C cell,,0773176275,,29-06-2023
Waneno ayim Farmers group lakwor,600,Dano aye lonyo,Kitgum,Lalano,Lakwor,Lakwor central B,,0784080890,,29-06-2023
Par Pi Acan Farmers group - Okwaloatala,601,OGOWIE-IGWATA GCS LTD,Alebtong,Omoro,Oculokori,Okwaloatala,,0771460366,,29-06-2023
Tem gummi vsla - Ajwati,602,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Ajwati,,0778565067,,30-06-2023
yapo aye tek farmers group - Lajanga,603,Dano aye lonyo,Kitgum,Lagoro,Laber,Lajanga,,0783049407,,30-06-2023
Bedo dano tek farmers group - Lajanga,604,Dano aye lonyo,Kitgum,Lagoro,Laber,Lajanga,,0779677597,,30-06-2023
Ribbe En Teko farmers group - Opari,605,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Opari,,0786490139,,30-06-2023
Bed ki Gen farmers group - Barmunu,606,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Barmunu,,0777854087,,30-06-2023
Can pe kuri Vsla group - Amatiburu,607,Omot Farmers Cooperative Society ltd,Agago,Omot,Atece,Amatiburu,,0785305512,,30-06-2023
Can dag lworo Vsla women group - Okwaloamara,608,Omot Farmers Cooperative Society ltd,Agago,Omot,Atece,Okwaloamara,,0777402166,,30-06-2023
Ryeko en lonyo Vsla women group - Atula central,609,Omot Farmers Cooperative Society ltd,Agago,Omot,Atece,Atula central,,0773619490,,30-06-2023
Pi berrere vsla - Amwonyo gweno,610,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Amwonyo gweno,,0763751472,,30-06-2023
Bed Awot wa farmers group - Owumu A,611,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Owumu A,,0773087138,,30-06-2023
Nen Anyim farmers group - Bar onger,612,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Bar onger,,0760366469,,30-06-2023
Note bet vsla - Bedigen,613,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Bedigen,,0760368103,,01-07-2023
Kony Pacu Farmers group - Oracing West,614,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Oracing West,,0761655925,,01-07-2023
Ryeko Loyo Tekkom farmers group - Oracing Yacinto West,615,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Oracing Yacinto West,,0785584193,,01-07-2023
Ribbe Aye Teko Farmers group - Laminajiko,616,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Laminajiko,,0779718562,,01-07-2023
Obangatwero Farmers group - Omokngom,617,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Omokngom,,0780125033,,01-07-2023
Opar Pi Wa famers group - Akwokampala,618,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Akwokampala,,0772306537,,01-07-2023
Yab wangi farmers group - Orakul,619,LAMINAJIKO-PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Orakul,,0784743336,,01-07-2023
Pit tek VSLA group - Ayonkedi A,620,Oculokori PDM Sacco ltd,Alebtong,Omoro,Oculokori,Ayonkedi A,,0760007054,,01-07-2023
Notte ber Vsla group - Tegweng,621,Omot Farmers Cooperative Society ltd,Agago,Omot,Barima,Tegweng,,0788435519,,01-07-2023
Poowii women group - Ongido,622,Omot Farmers Cooperative Society ltd,Agago,Omot,Awonodwe,Ongido,,0779462884,,01-07-2023
Lworo Kweri farmers group - Lokabar,623,Agago District Farmers Association,Agago,Kuywee,Atut,Lokabar,,0776445885,,02-07-2023
Doglela young farmers group - Doglela,624,Agago District Farmers Association,Agago,Kuywee,Atut,Doglela,,0783508319,,02-07-2023
Tic onotowa Vsla group - Ataparabar,625,Omot Farmers Cooperative Society ltd,Agago,Omot,Awonodwe,Ataparabar,,0782168343,,02-07-2023
Pe ipar Vsla group - Ongaro,626,Omot Farmers Cooperative Society ltd,Agago,Omot,Awonodwe,Ongaro,,0761797064,,02-07-2023
Orwom ilwak farmers group - Kutangica,627,Omot Farmers Cooperative Society ltd,Agago,Omot,Awonodwe,Kutangica,,0778431302,,02-07-2023
Nen Ki Ber Kite farmers group - Atula,628,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Atula,,0770354921,,02-07-2023
